userId,viewCount
10669443,106
2469191,105
9652490,105
9645622,105
91068,105
6454589,105
7758063,105
4645253,105
608076,105
8120233,105
342732,105
1068380,105
6312198,105
7273190,105
7203338,104
3518753,104
2281527,104
2270502,104
2363717,104
6871576,104
742709,104
10946910,104
1147671,104
9437348,104
728725,103
8838553,103
3061765,103
4690323,103
5490533,102
81430,102
1031695,102
7143987,102
53515,102
3392723,102
61617,101
927879,101
1909202,101
9391099,100
20708,100
1989905,99
6702984,99
530384,99
9476754,99
2926281,99
2038209,99
8117010,99
4681331,99
3430129,99
2115866,99
10973574,98
10541827,98
4338470,98
10836420,98
6932965,98
10829455,98
10455237,98
7528696,98
922640,98
5968560,98
4313929,98
8076021,98
3638494,98
3639737,98
6702442,98
7210770,98
3034662,97
3865,97
4913790,97
10576870,97
6206823,97
6980365,97
8096027,97
7859584,97
2787519,97
8777507,96
2252518,96
5409982,96
2286000,96
9102354,96
3119513,96
5952358,95
4093798,95
4518490,95
1185760,95
4838824,95
3429305,95
4962762,95
3263908,95
5974642,94
735148,94
7842740,94
11035464,94
254775,94
3876538,94
2303698,94
8806967,94
191944,94
2980970,94
4208476,94
3991202,94
7458943,94
461660,94
1396112,93
5479411,93
559264,93
6612313,93
442413,93
2204069,93
585160,93
351693,93
3138087,93
5144243,93
4840480,92
7634064,92
8560252,92
9683073,92
2988804,92
8244760,92
7281598,92
2349593,92
2619878,92
871727,92
5070315,92
6744459,92
3450125,92
8071659,92
4792173,91
7768071,91
1965756,91
1657307,91
3745055,91
7791,91
4478169,91
517500,91
9063523,91
10001009,91
1176227,90
4798244,90
2003642,90
3852938,90
10535603,90
8182370,90
7568351,90
8627724,90
747825,89
7399945,89
3655222,89
5323623,89
1681888,89
6416879,89
72924,89
5163409,89
2550450,89
39650,88
4653919,88
8847867,88
8894760,88
67449,88
70294,88
5545125,88
546560,88
10778638,88
1471115,88
9661500,88
7295920,88
4820994,87
8455729,87
5889319,87
2084888,87
2545264,87
9065210,87
8087217,87
2653493,87
1461362,87
40224,87
4149395,86
1416124,86
958671,86
9190895,85
6178925,85
2678583,85
8372436,85
4138,85
207568,85
1158844,85
10380519,85
6377600,85
8722450,85
10899511,84
1144558,84
9425714,84
11512493,84
5232172,84
4333829,84
3025821,84
2746271,84
2786872,83
2189494,83
3788839,83
9156411,83
8319364,83
5530781,83
7154640,83
267774,83
8553628,83
1953634,83
6975152,83
288965,83
2120812,83
178872,83
2506,83
6396587,82
5197056,82
1671339,82
3791743,82
68031,82
3033739,82
3612734,82
5533590,82
4470934,82
1578556,82
11310426,82
4151508,82
5106829,81
3528392,81
4702714,81
9932166,81
10823825,81
2593299,81
9885942,81
1632794,81
468234,81
5848052,81
11522218,81
1060330,81
8024397,80
353793,80
5002117,80
5003881,80
9959254,80
1620280,80
5325910,80
9979488,80
324375,80
6893044,80
2016543,80
10150612,80
8440831,79
10084711,79
33797,79
9425504,79
18016,79
6642730,79
4504153,79
985679,79
16901,79
6184797,79
6007877,79
1900112,79
6851600,79
7752226,79
2803278,79
4774202,79
1399300,79
4007402,78
10108797,78
5401038,78
1252973,78
4322372,78
8400823,78
3123590,78
5212401,78
3539472,77
3319660,77
5047202,77
8355175,77
3872023,77
2572449,77
3382330,77
6015855,77
7207877,77
686229,77
2412379,77
8691469,77
9799863,76
10591348,76
2527027,76
4393551,76
8108706,76
303404,76
2659625,76
5903776,76
4632982,76
6246089,76
4556057,76
4141819,76
7765833,76
5442154,76
3492125,75
4191383,75
1497612,75
4862946,75
6306939,75
10180035,75
3710903,75
10171016,75
861887,74
7039557,74
9840082,74
11406536,74
9023530,74
9686269,74
1781941,74
1301131,74
4237152,74
6140962,74
1351669,74
6112921,74
9898400,74
2442362,74
2529993,74
6334437,74
4324712,74
2156298,74
8871853,74
3622903,74
4250483,74
81744,74
5442799,74
11036,73
5354077,73
7604700,73
2357466,73
3550163,73
3697556,73
6382930,73
6142616,73
10811669,73
9933509,73
813105,73
8846306,73
11513098,73
3324364,73
4157454,73
1362178,72
7831831,72
310858,72
9178756,72
2499278,72
2775232,72
8440034,72
2952830,72
5116191,72
2811687,72
9961156,72
86234,71
3933745,71
2295262,71
566000,71
4117893,71
1660248,71
114378,71
11296303,71
