t_sec,count,p50_ms,p95_ms,p99_ms,p999_ms
1049.0,11880,38.87710437710438,836.0963804713803,967.2192760942763,996.7219276094274
1054.0,12801,29.009452386532303,823.7618154831652,964.752363096633,996.4752363096635
1059.2,6991,30.71480040351636,826.1085681590617,965.2217136318127,996.5221713631812
1064.2,4894,28.371742407925915,824.9233755619124,964.9846751123822,996.4984675112381
1069.3,3208,39.758865248226954,840.2275561097254,968.045511221945,996.8045511221944
1074.4,3667,34.85113835376533,834.1491682574309,966.8298336514862,996.6829833651485
1079.5,3056,37.84411869860565,838.4489528795809,967.6897905759163,996.7689790575918
1086.5,3854,39.47552447552448,840.3995848469121,968.0799169693823,996.8079916969383
1091.6,2826,43.68215540804374,845.0725406935595,969.0145081387118,996.9014508138714
1096.7,2681,49.45205479452055,852.1074226035062,970.4214845207011,997.0421484520699
1101.8,3140,31.333803810868034,831.6321656050951,966.3264331210188,996.6326433121018
1106.9,3722,22.423542989036353,819.2974207415367,963.8594841483075,996.385948414831
1112.2,2727,45.655771617707906,848.1206453978731,969.6241290795743,996.9624129079576
1117.5,2222,41.94888178913739,846.3771377137712,969.2754275427541,996.9275427542754
1122.6,2705,38.381984987489574,840.0462107208868,968.0092421441775,996.8009242144176
1127.7,2310,50.90079550772111,854.5779220779219,970.9155844155842,997.0915584415585
1132.8,3200,42.710027100271006,843.7187499999999,968.7437499999997,996.8743749999999
1138.2,2681,54.814155792803476,857.3759791122715,971.4751958224541,997.1475195822454
1143.2,2733,47.6778413736713,849.7255762897912,969.9451152579582,996.9945115257959
1149.7,3617,42.37480798771122,843.8968758639757,968.7793751727953,996.8779375172796
1154.9,2780,45.32852564102564,847.3291366906475,969.4658273381293,996.9465827338131
1161.7,2867,43.78967495219886,844.9250087199161,968.9850017439832,996.8985001743984
1166.8,14048,32.16400911161731,827.7050113895215,965.5410022779042,996.5541002277903
1171.8,10520,36.718824539643165,833.5361216730034,966.7072243346008,996.6707224334604
1176.9,20083,12.519543892844695,803.1494298660556,960.6298859732112,996.0629885973214
1181.9,30710,9.348877233240453,793.5322370563334,958.7064474112667,995.8706447411267
1187.0,12328,8.815451627693719,789.6191596365992,957.9238319273196,995.7923831927319
1192.0,5683,28.84878771053119,825.1891606545837,965.037832130917,996.5037832130919
1197.1,5388,28.906340895869693,825.1623979213063,965.0324795842615,996.5032479584264
1202.2,3941,32.52336448598131,831.0517635117989,966.2103527023595,996.6210352702358
1207.3,2972,42.50750750750751,843.1359353970388,968.6271870794079,996.8627187079406
1213.7,3170,50.28333333333333,852.9495268138803,970.5899053627762,997.0589905362774
1218.7,2572,46.20096959012781,848.610031104199,969.7220062208398,996.9722006220838
1224.0,741,68.81510416666667,883.8394062078272,976.7678812415655,997.6767881241564
1229.0,1675,55.34851621808144,861.3731343283583,972.2746268656718,997.227462686567
1234.1,2111,53.364149974319474,856.9872098531499,971.39744197063,997.1397441970632
1239.3,2229,67.32414448669202,869.156572454015,973.831314490803,997.3831314490805
1244.5,1582,19.942004971002486,831.4159292035399,966.2831858407079,996.6283185840709
1249.6,644,76.58102766798419,890.7996894409938,978.1599378881987,997.8159937888198
1254.7,2093,38.66705813270699,843.4902054467268,968.6980410893453,996.8698041089348
1259.7,2464,41.571359923113896,844.7341720779218,968.9468344155842,996.8946834415584
1265.0,2896,35.51615445232466,837.2237569060774,967.4447513812153,996.7444751381216
1270.1,1100,67.89215686274511,876.2272727272726,975.2454545454545,997.5245454545455
1277.0,3604,39.26148969889065,841.9256381798,968.3851276359599,996.8385127635959
1282.4,1940,41.439393939393945,846.7525773195875,969.3505154639175,996.9350515463917
1287.6,1421,45.73835480673935,856.9493314567205,971.3898662913441,997.1389866291343
1292.7,1918,36.48171500630517,842.1793534932223,968.4358706986444,996.8435870698644
1297.7,2769,36.61575562700965,838.0191404839294,967.6038280967858,996.7603828096787
1302.8,2422,46.08430913348947,848.6994219653177,969.7398843930636,996.9739884393065
1307.9,2481,47.3394495412844,850.0604594921402,970.0120918984281,997.001209189843
1312.9,3575,27.86250375262684,826.160839160839,965.2321678321678,996.5232167832168
1318.0,2562,48.54194115063681,851.4246682279468,970.2849336455894,997.0284933645588
1323.0,1613,51.21989860583017,852.2783632982018,970.4556726596405,997.0455672659638
